Date,Open,High,Low,Close
2002-10-01,90.115661,90.115661,90.115661,90.115661
2002-10-02,79.545983,79.545983,79.545983,79.545983
2002-10-03,83.816601,83.816601,83.816601,83.816601
2002-10-04,88.702731,88.702731,88.702731,88.702731
2002-10-07,81.292068,81.292068,81.292068,81.292068
2002-10-08,85.992471,85.992471,85.992471,85.992471
2002-10-09,91.00916,91.00916,91.00916,91.00916
2002-10-10,101.743397,101.743397,101.743397,101.743397
2002-10-11,105.060162,105.060162,105.060162,105.060162
2002-10-15,120.645617,120.645617,120.645617,120.645617
2002-10-16,96.570956,96.570956,96.570956,96.570956
2002-10-17,106.259678,106.259678,106.259678,106.259678
2002-10-18,103.670378,103.670378,103.670378,103.670378
2002-10-21,109.956429,109.956429,109.956429,109.956429
2002-10-22,102.371007,102.371007,102.371007,102.371007
2002-10-23,99.877166,99.877166,99.877166,99.877166
2002-10-24,97.232006,97.232006,97.232006,97.232006
2002-10-25,98.595328,98.595328,98.595328,98.595328
2002-10-28,97.211589,97.211589,97.211589,97.211589
2002-10-29,89.861267,89.861267,89.861267,89.861267
2002-10-30,95.061961,95.061961,95.061961,95.061961
2002-10-31,86.896937,86.896937,86.896937,86.896937
2002-11-01,96.391472,96.391472,96.391472,96.391472
2002-11-04,97.038166,97.038166,97.038166,97.038166
2002-11-05,98.000565,98.000565,98.000565,98.000565
2002-11-06,89.366061,89.366061,89.366061,89.366061
2002-11-07,81.672569,81.672569,81.672569,81.672569
2002-11-08,87.993516,87.993516,87.993516,87.993516
2002-11-12,87.299892,87.299892,87.299892,87.299892
2002-11-13,88.671924,88.671924,88.671924,88.671924
2002-11-14,96.286476,96.286476,96.286476,96.286476
2002-11-15,82.369016,82.369016,82.369016,82.369016
2002-11-18,76.369884,76.369884,76.369884,76.369884
2002-11-19,77.030159,77.030159,77.030159,77.030159
2002-11-20,81.092708,81.092708,81.092708,81.092708
2002-11-21,84.21191,84.21191,84.21191,84.21191
2002-11-22,75.192704,75.192704,75.192704,75.192704
2002-11-25,74.135251,74.135251,74.135251,74.135251
2002-11-26,69.55112,69.55112,69.55112,69.55112
2002-11-27,85.865028,85.865028,85.865028,85.865028
2002-11-29,69.815295,69.815295,69.815295,69.815295
2002-12-02,78.36729,78.36729,78.36729,78.36729
2002-12-03,75.48233,75.48233,75.48233,75.48233
2002-12-04,73.277887,73.277887,73.277887,73.277887
2002-12-05,85.723808,85.723808,85.723808,85.723808
2002-12-06,75.540769,75.540769,75.540769,75.540769
2002-12-09,72.54372,72.54372,72.54372,72.54372
2002-12-10,78.230764,78.230764,78.230764,78.230764
2002-12-11,75.889689,75.889689,75.889689,75.889689
2002-12-12,78.385249,78.385249,78.385249,78.385249
2002-12-13,77.546012,77.546012,77.546012,77.546012
2002-12-16,79.693787,79.693787,79.693787,79.693787
2002-12-17,74.152008,74.152008,74.152008,74.152008
2002-12-18,73.032548,73.032548,73.032548,73.032548
2002-12-19,74.475769,74.475769,74.475769,74.475769
2002-12-20,78.323203,78.323203,78.323203,78.323203
2002-12-23,79.113424,79.113424,79.113424,79.113424
2002-12-24,72.751952,72.751952,72.751952,72.751952
2002-12-26,76.675301,76.675301,76.675301,76.675301
2002-12-27,70.781046,70.781046,70.781046,70.781046
2002-12-30,76.070632,76.070632,76.070632,76.070632
2002-12-31,77.339824,77.339824,77.339824,77.339824
2003-01-02,89.348354,89.348354,89.348354,89.348354
2003-01-03,80.219762,80.219762,80.219762,80.219762
2003-01-06,80.882837,80.882837,80.882837,80.882837
2003-01-07,72.999941,72.999941,72.999941,72.999941
2003-01-08,74.85064,74.85064,74.85064,74.85064
2003-01-09,84.619164,84.619164,84.619164,84.619164
2003-01-10,75.472238,75.472238,75.472238,75.472238
2003-01-13,76.3161,76.3161,76.3161,76.3161
2003-01-14,73.740211,73.740211,73.740211,73.740211
